STNAME,CTYNAME,STCODE,CTYCODE,Cases2000,Cases2001,Cases2002,Cases2003,Cases2004,Cases2005,Cases2006,Cases2007,Cases2008,Cases2009,Cases2010,Cases2011,Cases2012,Cases2013,Cases2014
Alabama,Autauga County,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alabama,Baldwin County,1,3,1,0,1,0,0,0,0,0,0,1,0,1,1,0,3
Alabama,Barbour County,1,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Alabama,Bibb County,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Alabama,Blount County,1,9,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Alabama,Bullock County,1,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alabama,Butler County,1,13,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Alabama,Calhoun County,1,15,0,0,0,0,0,0,0,1,0,0,0,2,1,3,2
Alabama,Chambers County,1,17,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
Alabama,Cherokee County,1,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alabama,Chilton County,1,21,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Alabama,Choctaw County,1,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alabama,Clarke County,1,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alabama,Clay County,1,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alabama,Cleburne County,1,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Alabama,Coffee County,1,31,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
Alabama,Colbert County,1,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alabama,Conecuh County,1,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alabama,Coosa County,1,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Alabama,Covington County,1,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alabama,Crenshaw County,1,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alabama,Cullman County,1,43,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
Alabama,Dale County,1,45,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Alabama,Dallas County,1,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alabama,DeKalb County,1,49,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0
Alabama,Elmore County,1,51,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5
Alabama,Escambia County,1,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alabama,Etowah County,1,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
